
    *note: replace the "number" with your phone or pin number


3 River Wireless  	phonenumber@sms.3rivers.net
AlphNow 	pin@alphanow.net
Alltel 	10digitphonenumber@message.alltel.com
Alltel PCS 	10digitphonenumber@message.alltel.com
Andhra Pradesh Airtel 	phonenumber@airtelap.com
AT&T 	10digit@txt.att.net
AT&T Free2Go 	10digitphonenumber@mmode.com
AT&T PCS 	10digitphonenumber@mobile.att.net
AT&T Pocketnet PCS 	10digitphonenumber@dpcs.mobile.att.net
BeeLine GSM 	phonenumber@sms.beemail.ru
Bell Atlantic 	phonenumber@message.bam.com
Bell Canada 	phonenumber@txt.bellmobility.ca
Bell Canada 	phonenumber@bellmobility.ca
Bell Mobility (Canada) 	phonenumber@txt.bell.ca
Bell Mobility 	number@txt.bellmobility.ca
Bell South (Blackberry) 	number@bellsouthtips.com
Bell South 	phonenumber@sms.bellsouth.com
Bell South 	phonenumber@wireless.bellsouth.com
Bell South 	phonenumber@blsdcs.net
Bell South 	phonenumber@bellsouth.cl
Bell South Mobility 	phonenumber@blsdcs.net
Blue Sky Frog 	phonenumber@blueskyfrog.com
Bluegrass Cellular 	phonenumber@sms.bluecell.com
Boost 	phonenumber@myboostmobile.com
BPL mobile 	phonenumber@bplmobile.com
Carolina West Wireless 	10digitnumber@cwwsms.com
Cellular One East Coast 	phonenumber@phone.cellone.net
Cellular One South West 	phonenumber@swmsg.com
Cellular One 	10digitphonenumber@mobile.celloneusa.com
Cellular One 	phonenumber@cellularone.txtmsg.com
Cellular One 	phonenumber@cellularone.textmsg.com
Cellular One 	phonenumber@cell1.textmsg.com
Cellular One 	phonenumber@message.cellone-sf.com
Cellular One 	phonenumber@sbcemail.com
Cellular One West 	phonenumber@mycellone.com
Cellular South 	phonenumber@csouth1.com
Centennial Wireless 	10digitnumber@cwemail.com
CenturyTel 	phonenumber@messaging.centurytel.net
Chennai RPG Cellular 	phonenumber@rpgmail.net
Chennai Skycell / Airtel 	phonenumber@airtelchennai.com
Cincinnati Bell Wireless 	phonenumber@gocbw.com
Cingular 	mobilenumber@mycingular.com
Cingular 	mobilenumber@mycingular.net
Cingular 	mobilenumber@mms.cingularme.com
Cingular 	10digitphonenumber@cingularme.com
Cingular Wireless 	10digitphonenumber@mycingular.textmsg.com
Cingular Wireless 	10digitphonenumber@mobile.mycingular.com
Cingular Wireless 	10digitphonenumber@mobile.mycingular.net
Clearnet 	phonenumber@msg.clearnet.com
Comcast 	phonenumber@comcastpcs.textmsg.com
Comviq 	number@sms.comviq.se
Corr Wireless Communications 	phonenumber@corrwireless.net
Delhi Aritel 	phonenumber@airtelmail.com
Delhi Hutch 	phonenumber@delhi.hutch.co.in
Dobson Cellular Systems 	phonenumber@mobile.dobson.net
Dobson-Alex Wireless / Dobson-Cellular One 	phonenumber@mobile.cellularone.com
DT T-Mobile 	phonenumber@t-mobile-sms.de
Dutchtone / Orange-NL 	phonenumber@sms.orange.nl
Edge Wireless 	phonenumber@sms.edgewireless.com
EMT 	phonenumber@sms.emt.ee
Escotel 	phonenumber@escotelmobile.com
Fido 	phonenumber@fido.ca
German T-Mobile 	number@@t-mobile-sms.de
Goa BPLMobil 	phonenumber@bplmobile.com
Golden Telecom 	phonenumber@sms.goldentele.com
GTE 	number@airmessage.net
GTE 	10digitphonenumber@messagealert.com
Gujarat Celforce 	phonenumber@celforce.com
Houston Cellular 	number@text.houstoncellular.net
